source_image,output_image,sha256,max_conf,predicted_class_id,predicted_class_name,prediction_count
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\test\images\construction-2-_mp4-162_jpg.rf.edc08e7528429b4315f59637aaf65cf0.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_586d2f9e0d76a329.jpg,586d2f9e0d76a3291bd70e0c2770377253fea7ffa7099b48524a1c77f2b6cf30,0.8617298007011414,16,保健品,19
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\Apple-Tests-Face-ID-Feature-While-Wearing-a-Mask-Shorts_mp4-51_jpg.rf.aec1873064ce036fc10e6e0f12b59e24.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_1a76ee808f55d211.jpg,1a76ee808f55d2119cf8dc5d4454761f790d22e3223b95b3908ec7ae61460ef3,0.8359231352806091,16,保健品,15
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\construction-2-_mp4-210_jpg.rf.bef16a153dae2290c2b50c8fea928cae.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_0cbaada130c888f0.jpg,0cbaada130c888f007aa000a93be5d7a11f055cc7412d84e59be4abcbdd756e6,0.8293020725250244,16,保健品,10
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\n457047_jpg.rf.e7c55354d1dc5c89b33ef245564da9c8.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_ecdacdf139b3ed30.jpg,ecdacdf139b3ed301c38ad92b7ed38011290c8e8ebbc04c4e1c3e12c26dfb39e,0.7854225635528564,17,其他,14
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\construction-2-_mp4-178_jpg.rf.9bda568d806072e7ca04d7b50d1483c9.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_328db25ed8d40487.jpg,328db25ed8d4048762f8e4d424227b6dffb0ad259caa6c579007f0464f227a52,0.7776511311531067,16,保健品,8
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\youtube-731_jpg.rf.838c1a531de2adae1392062b4b2bda66.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_98c7f2925e5d3f50.jpg,98c7f2925e5d3f5072f4aeed7cd5b8b9e16a16bd19498e8a9e2ed36e24a14e50,0.7513689398765564,16,保健品,13
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\youtube-824_jpg.rf.5baf65abebe0647f6f8b6ccaa801d7ef.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_9d118a3453e517ea.jpg,9d118a3453e517ea6f9c8ef6d07b46d48f65a71485517f008bef91a514cc95b4,0.7512146234512329,17,其他,12
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\youtube-815_jpg.rf.e01e897cfb2f6a6fd040babedc44d48b.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_f581dd09581c12df.jpg,f581dd09581c12df5add46acfd3fcdb46f9721f1811d0302a13360c53a6af9da,0.7407165169715881,16,保健品,22
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\ppe_0738_jpg.rf.631d61e347713b921f68ac21ad3d2f33.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_ec005ec57844a820.jpg,ec005ec57844a820737fa1a796e7a28fa54caf6cf54512c35080ea1a8a0fe2ba,0.7397201657295227,17,其他,21
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\construction-860-_jpg.rf.67cee02056616afdaab6e3ab84dd12d3.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_f0eb473cd230c121.jpg,f0eb473cd230c12173266daa4c17daf5ebaaec2e60eb44770e1fae5184eeab5d,0.737971842288971,16,保健品,12
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\valid\images\construction-3-_mp4-219_jpg.rf.ac22821dbd88fe260320d3809b8cb62a.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_8e39cf90de9ca52c.jpg,8e39cf90de9ca52ce6ef5b69d527bdb1a111a1cbda244785ba7dffb5eea7ea71,0.726466178894043,16,保健品,12
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\ppe_0029_jpg.rf.cdfd7d2e151bd71e736a4fbe555fa4e2.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_ae02984fbc5d09b6.jpg,ae02984fbc5d09b6a210189318a19e750b8d4ceece43adbb8efe86c254b0545d,0.7232472896575928,16,保健品,9
C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\worksite\images\train\images\youtube-235_jpg.rf.19a4113e19dc95a64d3e59bef0e2f793.jpg,D:\ai-vision-training\datasets\medicine_hardneg\train\images\hardneg_4be5336a3b20bb27.jpg,4be5336a3b20bb27077df2056ff7a39ee64dbc5c3dcfda9535f25755b562bcca,0.7220066785812378,16,保健品,7
